zip_code,arrest_count,lat,lon,borough,crime_per_10k,murder,rape,robbery,fel_assault,burglary,gr_larceny,gla,total,borough_display
10032,2017,40.84047898224293,-73.94335023516881,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10033,2524,40.85476635300487,-73.93592273279032,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10034,787,40.87049187971734,-73.92048855629633,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10035,3223,40.802626379793324,-73.93411948136023,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10035,3223,40.791768933893756,-73.92570188243978,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10036,1973,40.758783856559084,-73.98974589837476,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10037,738,40.812709335010446,-73.93482538097805,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10038,446,40.70937254845485,-74.00237287302183,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10039,1433,40.82997659162879,-73.93688268610681,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10040,965,40.85738458846664,-73.92693231431171,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10044,577,40.76094971796176,-73.95115066288024,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10065,1343,40.76254705954836,-73.95942247845736,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10069,90,40.777615247467374,-73.98964583856647,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10075,200,40.77162204511819,-73.95133578007102,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10128,388,40.779262067078086,-73.9454123380973,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10280,10,40.70752706399938,-74.01746391648773,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10282,82,40.715620119967156,-74.01553915817847,manhattan,175.6,47.0,383.0,3259.0,5239.0,3337.0,16299.0,1185.0,29749.0,Manhattan
10301,4916,40.62218368183935,-74.09337157435284,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10302,1763,40.63160347492712,-74.13776612484192,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10303,475,40.638652516920956,-74.16584230434324,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10304,793,40.611335966762795,-74.08936568615705,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10305,460,40.591757057149024,-74.07355787393706,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10306,1044,40.5602138633246,-74.12285962661338,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10307,486,40.50891196322677,-74.24454583910462,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10308,124,40.54874685922253,-74.14474369343193,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10309,305,40.53561171648989,-74.22122854667957,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10310,581,40.6370537337864,-74.1150945016683,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10312,195,40.53545161565797,-74.17478381260415,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10314,565,40.59808577208346,-74.17579059699611,statenisland,58.2,3.0,71.0,273.0,909.0,266.0,1153.0,211.0,2886.0,Staten Island
10451,3661,40.8204740173363,-73.92746249802731,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10452,4591,40.839481469213254,-73.92498198243078,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
10453,1750,40.85352248455895,-73.91634387807812,bronx,204.1,99.0,546.0,4632.0,8799.0,2782.0,8951.0,4242.0,30051.0,Bronx
