zip_code,lat,lon,nearest_subway_dist_miles,nearest_subway
10002,40.72372257413236,-73.97915860597071,0.5271932575800875,1 Av
11378,40.72605584451599,-73.91503002288277,1.201450213742732,46 St-Bliss St
10009,40.72735532516567,-73.97554460187719,0.4876645326490001,1 Av
10012,40.72688113676271,-73.99955853513266,0.2177616907437364,Prince St
10013,40.721409437346225,-74.00370662237775,0.11254343163098321,Canal St
11211,40.717435530032695,-73.9545448100126,0.16083237495990424,Bedford Av
10007,40.71350497293453,-74.00821555994035,0.04897322146555209,Chambers St
11237,40.70381064213058,-73.91868702036929,0.01807942234403276,DeKalb Av
11385,40.70077707123051,-73.87616403733166,0.7881772643962561,Cypress Hills
10038,40.70937254845485,-74.00237287302183,0.27632273343670377,Chambers St
11206,40.70204387007419,-73.93965653647514,0.1594708602212185,Flushing Av
10006,40.70804455906762,-74.0135158418697,0.04104940476003939,Rector St
11412,40.694744682962344,-73.7603920228681,2.0342561058019926,Jamaica-179 St
10005,40.70549440398773,-74.0085718224297,0.09852341148222503,Wall St
11251,40.70347216784633,-73.97283925615322,0.9705309010817378,York St
10004,40.702366561282375,-74.01263977956707,0.055393897084698475,Whitehall St-South Ferry
11411,40.69614646525237,-73.73672785439665,3.4428319270129855,Jamaica-179 St
11201,40.69785149695154,-73.9911257867805,0.11041057851340717,High St
10004,40.69874686569332,-74.0406166464777,1.8737979829218587,South Ferry
11205,40.69441061741978,-73.96723144492658,0.4370313142267201,Clinton-Washington Avs
11208,40.66484865279889,-73.86585598359166,0.8433146660258479,Grant Av
11207,40.670731969877096,-73.89563627390758,0.27031426125528163,Liberty Av
10004,40.689701543399096,-74.01673509118059,0.8792041892420721,South Ferry
10004,40.68988489390824,-74.04557612006394,2.356944942319758,South Ferry
11413,40.666072082764636,-73.75194163682184,3.89417352461622,Jamaica-179 St
11217,40.68349475028706,-73.9772865303563,0.06512828005092641,Atlantic Av-Barclays Ctr
11238,40.67563664991787,-73.96701592498695,0.2794527878188316,Grand Army Plaza
11231,40.67508331710057,-74.01007177526076,0.9792905986618703,Smith-9 Sts
11422,40.65329020777783,-73.73744945902813,3.6199815849632495,Far Rockaway-Mott Av
11420,40.669167618487656,-73.81655019579206,1.1224517569842143,Howard Beach-JFK Airport
11417,40.675772206895324,-73.84237054745753,0.33720736672697993,Rockaway Blvd
11215,40.66494336229539,-73.9806002842381,0.09384544515901874,7 Av
11414,40.656077284716126,-73.84434154359481,1.0152279320185764,Howard Beach-JFK Airport
11231,40.66710323530192,-74.01728919701043,1.2568920054199146,36 St
11232,40.65939485349065,-74.00826980768899,0.43833077875612114,36 St
11430,40.64341100681422,-73.78837581545343,3.0749460310264762,Broad Channel
11203,40.65083298019809,-73.93400163861072,1.0745621582701093,Church Av
11239,40.64536907906578,-73.87354299315687,1.612880123897189,New Lots Av
11236,40.640534740896605,-73.89189490475883,0.8062946078529022,Canarsie-Rockaway Pkwy
11220,40.64294137048373,-74.02452127241438,0.4709604028066635,59 St
10301,40.62218368183935,-74.09337157435284,1.3172253721454483,Stapleton
10310,40.6370537337864,-74.1150945016683,2.777915015020246,Tompkinsville
10303,40.638652516920956,-74.16584230434324,5.610916910693404,New Dorp
11234,40.60458816395699,-73.90383216312753,2.905763217986107,Canarsie-Rockaway Pkwy
10302,40.63160347492712,-74.13776612484192,4.076547520932224,Jefferson Av
11693,40.61543072319787,-73.82467303071235,0.7751760466158168,Broad Channel
11209,40.61584037226042,-74.02921675570994,0.1265549828001777,Bay Ridge-95 St
10304,40.611335966762795,-74.08936568615705,0.6739994812900214,Grasmere
10314,40.59808577208346,-74.17579059699611,3.6448198794583084,Great Kills
11693,40.6288002281486,-73.84025471265952,2.1915935487578975,Broad Channel
11228,40.61337775829714,-74.0173413367775,0.9603456903702272,Bay Ridge-95 St
11096,40.617517031011374,-73.76838444052956,1.2932875237442827,Far Rockaway-Mott Av
10305,40.591757057149024,-74.07355787393706,1.0100667984759846,Old Town
11229,40.59746054336325,-73.93530509912705,1.3785519683693503,Neck Rd
11214,40.590824757003624,-73.99765630836299,0.8092128579029936,Bay Pkwy
11691,40.60225731136145,-73.76743067369422,0.4457846609299018,Beach 25 St
11096,40.61171994725072,-73.74816139814752,0.7306985253978281,Far Rockaway-Mott Av
11223,40.59459986529937,-73.96976369450067,0.2677040616249685,Avenue U
11693,40.60720927066365,-73.83272114883292,1.1617557471984594,Broad Channel
11692,40.594362248330555,-73.7971967563399,0.23777811587171865,Beach 67 St
11235,40.58264526692284,-73.93691221309098,1.2253716820411795,Sheepshead Bay
11693,40.588271618151566,-73.81170816171947,0.13436988152270005,Beach 90 St
10306,40.5602138633246,-74.12285962661338,0.413691330265885,Oakwood Heights
11694,40.573794476408196,-73.85261589632725,1.2729408927040093,Rockaway Park-Beach 116 St
11224,40.57598606093259,-73.98485097203124,0.2685832655497839,Coney Island-Stillwell Av
10308,40.54874685922253,-74.14474369343193,0.49016261998112715,Great Kills
11697,40.560434461580336,-73.90261264462127,3.9977312710813275,Sheepshead Bay
10312,40.53545161565797,-74.17478381260415,0.41897655339335677,Annadale
10309,40.53561171648989,-74.22122854667957,0.9403264108858063,Pleasant Plains
10307,40.50891196322677,-74.24454583910462,0.555309974265927,Arthur Kill
10280,40.70752706399938,-74.01746391648773,0.2539850915227312,Rector St
10048,40.7114851285949,-74.01288006919945,0.05350814431506595,WTC Cortlandt
10279,40.7125109898468,-74.00845004784146,0.04481800583087303,Park Place
10165,40.75218465900669,-73.97904316702702,0.041556200349001676,Grand Central-42 St
